sample,sample_size,pct_fragments_clade,n_fragments_clade,n_fragments_taxon,n_minimisers,n_distinct_minimisers,rank,n_taxa_in_rank,ncbi_id,taxon,domain,kingdom,phylum,class,order,family,genus,species,db_n_minimisers_taxon,db_n_minimisers_clade
PD52657a,929077,0,2,0,501,217,F,52,128827,Erysipelotrichaceae,Bacteria,NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA,685,1307485
PD52657a,929077,0,2,0,378,177,G,67,118747,Bulleidia,Bacteria,NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,NA,0,47110
PD52657a,929077,0,2,2,378,177,S,124,2806552,Bulleidia sp. zg-1006,Bacteria,NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia_sp._zg-1006,47110,47110
PD52657a,929077,0.05,445,5,19417,15539,P,11,201174,Actinomycetota,Bacteria,NA,Actinomycetota,NA,NA,NA,NA,NA,91054,225281742
PD52657a,929077,0.05,439,110,18852,15126,C,19,1760,Actinomycetes,Bacteria,NA,Actinomycetota,Actinomycetes,NA,NA,NA,NA,2124736,219009220
PD52657a,929077,0.03,277,0,14028,11449,O,36,2037,Actinomycetales,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,NA,NA,NA,0,4723219
PD52657a,929077,0.03,277,10,14028,11449,F,52,2049,Actinomycetaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,NA,NA,8149,4723219
PD52657a,929077,0.03,243,225,13022,10578,G,67,1654,Actinomyces,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,NA,198753,2369273
PD52657a,929077,0,8,6,1839,1533,S,124,544580,Actinomyces oris,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_oris,108107,131401
PD52657a,929077,0,3,0,783,610,S,124,706438,Actinomyces sp. oral taxon 171,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_sp._oral_taxon_171,0,63497
PD52657a,929077,0,3,3,334,281,S,124,1656,Actinomyces viscosus,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_viscosus,81353,81353
PD52657a,929077,0,3,3,535,456,S,124,1655,Actinomyces naeslundii,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_naeslundii,137884,137884
PD52657a,929077,0,24,3,845,757,G,67,2529408,Schaalia,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia,NA,3789,714503
PD52657a,929077,0,21,21,802,715,S,124,1660,Schaalia odontolytica,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia_odontolytica,196681,196681
PD52657a,929077,0,19,2,1118,897,O,36,85006,Micrococcales,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,NA,NA,NA,227574,46216650
PD52657a,929077,0,11,1,492,449,F,52,1268,Micrococcaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,NA,NA,224528,13891852
PD52657a,929077,0,7,6,221,207,G,67,1269,Micrococcus,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,NA,103479,357718
PD52657a,929077,0,1,1,30,30,S,124,1270,Micrococcus luteus,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus_luteus,174666,174772
PD52657a,929077,0,2,0,153,132,G,67,32207,Rothia,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,NA,16391,922287
PD52657a,929077,0,2,1,79,66,S,124,2047,Rothia dentocariosa,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,Rothia_dentocariosa,110647,138875
PD52657a,929077,0,1,0,68,68,G,67,57493,Kocuria,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,NA,139223,889994
PD52657a,929077,0,1,1,41,41,S,124,71999,Kocuria palustris,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,Kocuria_palustris,83794,83794
PD52657a,929077,0,3,1,138,128,F,52,85021,Intrasporangiaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,NA,NA,3866,1148547
PD52657a,929077,0,2,2,124,116,G,67,53457,Janibacter,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Janibacter,NA,68100,483804
PD52657a,929077,0,3,1,293,191,F,52,85023,Microbacteriaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,NA,NA,201366,19125789
PD52657a,929077,0,1,0,113,75,G,67,33882,Microbacterium,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,NA,622111,7096365
PD52657a,929077,0,1,1,14,14,S,124,2014534,Microbacterium sp. PM5,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium_sp._PM5,85657,85657
PD52657a,929077,0,1,0,11,11,G,67,96492,Frigoribacterium,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Frigoribacterium,NA,0,194888
PD52657a,929077,0,1,1,9,9,S,124,2596916,Frigoribacterium sp. NBH87,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Frigoribacterium,Frigoribacterium_sp._NBH87,88679,88679
PD52657a,929077,0,13,0,381,264,O,36,85004,Bifidobacteriales,Bacteria,NA,Actinomycetota,Actinomycetes,Bifidobacteriales,NA,NA,NA,0,2954632
PD52657a,929077,0,13,0,381,264,F,52,31953,Bifidobacteriaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,NA,NA,1335,2954632
PD52657a,929077,0,13,12,292,239,G,67,2701,Gardnerella,Bacteria,NA,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,NA,75394,246595
PD52657a,929077,0,1,1,14,14,S,124,2792978,Gardnerella leopoldii,Bacteria,NA,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella_leopoldii,21755,21755
PD52657a,929077,0,12,0,423,353,O,36,85009,Propionibacteriales,Bacteria,NA,Actinomycetota,Actinomycetes,Propionibacteriales,NA,NA,NA,15639,12116986
PD52657a,929077,0,12,0,309,272,F,52,31957,Propionibacteriaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,NA,NA,13285,3722028
PD52657a,929077,0,12,0,217,213,G,67,1912216,Cutibacterium,Bacteria,NA,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,NA,23124,552859
PD52657a,929077,0,12,12,190,190,S,124,1747,Cutibacterium acnes,Bacteria,NA,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium_acnes,129840,138230
PD52657a,929077,0,8,0,560,357,O,36,85007,Mycobacteriales,Bacteria,NA,Actinomycetota,Actinomycetes,Mycobacteriales,NA,NA,NA,230521,53073014
PD52657a,929077,0,7,0,250,185,F,52,1653,Corynebacteriaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,NA,NA,0,9805876
PD52657a,929077,0,7,3,250,185,G,67,1716,Corynebacterium,Bacteria,NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,NA,695265,9805876
PD52657a,929077,0,2,2,45,45,S,124,43768,Corynebacterium matruchotii,Bacteria,NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_matruchotii,129029,129029
PD52657a,929077,0,1,1,10,10,S,124,1232427,Corynebacterium ihumii,Bacteria,NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_ihumii,60985,60985
PD52657a,929077,0,1,1,11,11,S,124,1979527,Corynebacterium kefirresidentii,Bacteria,NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_kefirresidentii,64232,64232
