sample,sample_size,pct_fragments_clade,n_fragments_clade,n_fragments_taxon,n_minimisers,n_distinct_minimisers,rank,n_taxa_in_rank,ncbi_id,taxon,domain,kingdom,phylum,class,order,family,genus,species,db_n_minimisers_taxon,db_n_minimisers_clade,ratio_taxon,ratio_clade,pvalue,padj,significance
PD52657a,929077,0,24,24,1626,669,S,124,33040,Streptococcus milleri,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_milleri,13124,13124,0.05097531240475465,0.05097531240475465,0,0,Significant
PD52657a,929077,0,8,8,620,307,S,124,1311,Streptococcus agalactiae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_agalactiae,65077,72531,0.004717488513606958,0.004232672926059202,0,0,Significant
PD52657a,929077,0,5,5,1323,396,S,124,1313,Streptococcus pneumoniae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_pneumoniae,194032,200959,0.0020409004700255627,0.0019705512069626142,0,0,Significant
PD52657a,929077,0,5,5,1371,242,S,124,1314,Streptococcus pyogenes,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_pyogenes,210754,213749,0.0011482581588012565,0.0011321690393873189,0,0,Significant
PD52657a,929077,0,2,0,561,170,S,124,1336,Streptococcus equi,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_equi,55345,198969,0.0030716415213659773,8.544044549653463e-4,0,0,Significant
PD52657a,929077,0,1,1,8,7,S,124,1334,Streptococcus dysgalactiae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_dysgalactiae,47527,62122,1.4728470132766637e-4,1.1268149769807798e-4,4.42346405820757e-8,5.485095432177386e-6,Significant
PD52657a,929077,0,3,3,281,48,S,124,1318,Streptococcus parasanguinis,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_parasanguinis,15365,53718,0.003123983078424992,8.935552328828326e-4,0,0,Significant
PD52657a,929077,0,2,2,225,133,S,124,1305,Streptococcus sanguinis,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sanguinis,224702,244449,5.918950432127885e-4,5.440807694038429e-4,0,0,Significant
PD52657a,929077,0,1,1,862,246,S,124,113107,Streptococcus australis,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_australis,47272,47272,0.00520392621424945,0.00520392621424945,0,0,Significant
PD52657a,929077,0.05,420,10,65025,11177,F,52,186828,Carnobacteriaceae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,NA,NA,738,1426588,15.144986449864499,0.007834777805505164,0,0,Significant
PD52657a,929077,0.04,410,67,64537,11082,G,67,117563,Granulicatella,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,NA,389,139271,28.488431876606683,0.07957148293614608,0,0,Significant
PD52657a,929077,0.04,340,340,61758,10513,S,124,137732,Granulicatella elegans,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella_elegans,49572,49572,0.21207536512547406,0.21207536512547406,0,0,Significant
PD52657a,929077,0,3,3,909,280,S,124,46124,Granulicatella adiacens,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella_adiacens,89283,89310,0.0031360953372982538,0.0031351472399507333,0,0,Significant
PD52657a,929077,0,12,1,992,378,F,52,33958,Lactobacillaceae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,NA,NA,152395,14352926,0.002480396338462548,2.633609342095124e-5,1.1767392272604852e-10,6.119043981754523e-9,Significant
PD52657a,929077,0,9,1,278,166,G,67,1578,Lactobacillus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,214458,2538385,7.740443350213095e-4,6.539591117974618e-5,1.4274855365246985e-64,9.56415309471548e-63,Significant
PD52657a,929077,0,6,6,89,72,S,124,47770,Lactobacillus crispatus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_crispatus,190490,198128,3.779725969867185e-4,3.634014374545748e-4,1.2266235370513059e-270,1.5210131859436192e-268,Significant
PD52657a,929077,0,2,2,58,43,S,124,147802,Lactobacillus iners,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_iners,73170,73170,5.876725433921005e-4,5.876725433921005e-4,1.6497302575293345e-272,2.0456655193363746e-270,Significant
PD52657a,929077,0,1,0,51,24,G,67,1243,Leuconostoc,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,NA,278617,866778,8.613975457348259e-5,2.7688750752787913e-5,0.032481640370773106,1,Non-significant
PD52657a,929077,0,1,1,13,13,S,124,1252,Leuconostoc carnosum,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc_carnosum,49823,53767,2.609236697910604e-4,2.4178399389960384e-4,1.257448739126092e-32,1.559236436516354e-30,Significant
PD52657a,929077,0,1,0,194,50,G,67,2767887,Ligilactobacillus,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,NA,13207,778014,0.0037858711289467705,6.426619572398441e-5,3.050039370193955e-20,2.0435263780299496e-18,Significant
PD52657a,929077,0,1,1,184,45,S,124,1624,Ligilactobacillus salivarius,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus_salivarius,228079,236593,1.9730005831312836e-4,1.9020004818401222e-4,1.8491944965203242e-81,2.293001175685202e-79,Significant
PD52657a,929077,0,1,0,94,52,F,52,186827,Aerococcaceae,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,NA,NA,81,666219,0.6419753086419753,7.80524121947888e-5,1.237661285857402e-28,6.4358386864584906e-27,Significant
PD52657a,929077,0,1,0,53,35,G,67,46123,Abiotrophia,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,NA,0,63566,Inf,5.506088160337287e-4,1.810474508104422e-207,1.2130179204299628e-205,Significant
PD52657a,929077,0,1,1,53,35,S,124,46125,Abiotrophia defectiva,Bacteria,NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia_defectiva,63566,63566,5.506088160337287e-4,5.506088160337287e-4,1.810474508104422e-207,2.244988390049483e-205,Significant
PD52657a,929077,0.16,1443,250,37220,24384,G,67,1378,Gemella,Bacteria,NA,Bacillota,Bacilli,Bacillales,NA,Gemella,NA,5004,303032,4.872901678657074,0.08046674938620343,0,0,Significant
PD52657a,929077,0.12,1158,1158,30417,19723,S,124,29391,Gemella morbillorum,Bacteria,NA,Bacillota,Bacilli,Bacillales,NA,Gemella,Gemella_morbillorum,60763,60763,0.32458897684446125,0.32458897684446125,0,0,Significant
PD52657a,929077,0,35,35,3354,2774,S,124,1379,Gemella haemolysans,Bacteria,NA,Bacillota,Bacilli,Bacillales,NA,Gemella,Gemella_haemolysans,104903,104903,0.026443476354346396,0.026443476354346396,0,0,Significant
PD52657a,929077,0,11,0,710,385,F,52,90964,Staphylococcaceae,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,NA,NA,37089,7916442,0.010380436247944134,4.863295909955508e-5,1.7117025706503986e-81,8.900853367382073e-80,Significant
PD52657a,929077,0,11,1,605,348,G,67,1279,Staphylococcus,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,NA,866334,5953342,4.016926497170837e-4,5.845456216021186e-5,5.7424965462132756e-108,3.8474726859628945e-106,Significant
PD52657a,929077,0,7,7,133,125,S,124,1282,Staphylococcus epidermidis,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis,255776,256867,4.887088702614788e-4,4.866331603514659e-4,0,0,Significant
PD52657a,929077,0,1,1,32,32,S,124,33028,Staphylococcus saccharolyticus,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_saccharolyticus,93289,93289,3.4302007739390496e-4,3.4302007739390496e-4,3.677136549763485e-114,4.559649321706721e-112,Significant
PD52657a,929077,0,1,1,22,12,S,124,29388,Staphylococcus capitis,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_capitis,114913,127775,1.0442682725192102e-4,9.391508511054589e-5,4.286938492110389e-10,5.315803730216882e-8,Significant
PD52657a,929077,0,1,1,40,27,S,124,1290,Staphylococcus hominis,Bacteria,NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_hominis,139659,149227,1.9332803471312267e-4,1.8093240499373437e-4,6.840741747769877e-47,8.482519767234648e-45,Significant
PD52657a,929077,1.14,10583,44,235107,40775,F,52,1570339,Peptoniphilaceae,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,NA,NA,3728,856719,10.9375,0.047594368748679554,0,0,Significant
PD52657a,929077,1.13,10537,0,234094,40462,G,67,543311,Parvimonas,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,NA,0,108164,Inf,0.374080100587996,0,0,Significant
PD52657a,929077,1.13,10537,10537,234094,40462,S,124,33033,Parvimonas micra,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,Parvimonas_micra,108164,108164,0.374080100587996,0.374080100587996,0,0,Significant
PD52657a,929077,0,1,1,117,46,G,67,165779,Anaerococcus,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,NA,27441,177210,0.0016763237491345068,2.595790305287512e-4,1.9678887872016196e-119,1.318485487425085e-117,Significant
PD52657a,929077,0,1,0,111,56,G,67,1161127,Murdochiella,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Murdochiella,NA,0,51374,Inf,0.001090045548331841,0,0,Significant
PD52657a,929077,0,1,1,111,56,S,124,1852373,Murdochiella vaginalis,Bacteria,NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Murdochiella,Murdochiella_vaginalis,51374,51374,0.001090045548331841,0.001090045548331841,0,0,Significant
PD52657a,929077,0,6,0,537,123,G,67,1582879,Ezakiella,Bacteria,NA,Bacillota,Tissierellia,NA,NA,Ezakiella,NA,322,101398,0.38198757763975155,0.001213041677350638,0,0,Significant
PD52657a,929077,0,6,6,494,112,S,124,46507,Ezakiella coagulans,Bacteria,NA,Bacillota,Tissierellia,NA,NA,Ezakiella,Ezakiella_coagulans,52081,52081,0.0021504963422361322,0.0021504963422361322,0,0,Significant
PD52657a,929077,0.08,768,0,55189,10810,F,52,1843491,Selenomonadaceae,Bacteria,NA,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,NA,NA,61,904247,177.21311475409837,0.011954698218517728,0,0,Significant
PD52657a,929077,0.08,768,72,55060,10784,G,67,970,Selenomonas,Bacteria,NA,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,NA,15113,634692,0.7135578640905181,0.016990918429726543,0,0,Significant
PD52657a,929077,0.07,695,657,52016,10098,S,124,69823,Selenomonas sputigena,Bacteria,NA,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas_sputigena,139435,177885,0.07242084125219636,0.05676701239564887,0,0,Significant
PD52657a,929077,0.05,441,1,8791,7276,F,52,31977,Veillonellaceae,Bacteria,NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,NA,NA,218,1060505,33.37614678899082,0.006860882315500634,0,0,Significant
PD52657a,929077,0.05,440,2,8625,7164,G,67,39948,Dialister,Bacteria,NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Dialister,NA,60965,193736,0.11751004674813417,0.036978155840938186,0,0,Significant
PD52657a,929077,0.05,438,438,8590,7148,S,124,39950,Dialister pneumosintes,Bacteria,NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister_pneumosintes,38956,38956,0.18348906458568642,0.18348906458568642,0,0,Significant
PD52657a,929077,0.03,294,0,10500,7265,F,52,186804,Peptostreptococcaceae,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,NA,NA,5055,1637944,1.437190900098912,0.00443543857421255,0,0,Significant
PD52657a,929077,0.03,294,0,9635,6988,G,67,44259,Filifactor,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Filifactor,NA,0,53883,Inf,0.1296883989384407,0,0,Significant
PD52657a,929077,0.03,294,0,9635,6988,S,124,143361,Filifactor alocis,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Filifactor,Filifactor_alocis,0,53883,Inf,0.1296883989384407,0,0,Significant
PD52657a,929077,0.01,51,4,6248,2238,F,52,186803,Lachnospiraceae,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA,187674,8029561,0.011924933661562071,2.7872009441113905e-4,0,0,Significant
PD52657a,929077,0,33,0,3346,1460,G,67,1164882,Lachnoanaerobaculum,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoanaerobaculum,NA,0,85054,Inf,0.01716556540550709,0,0,Significant
PD52657a,929077,0,33,33,3346,1460,S,124,617123,Lachnoanaerobaculum umeaense,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoanaerobaculum,Lachnoanaerobaculum_umeaense,85054,85054,0.01716556540550709,0.01716556540550709,0,0,Significant
PD52657a,929077,0,13,13,423,59,G,67,841,Roseburia,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,NA,36244,414219,0.0016278556450722878,1.4243673032864258e-4,2.531395116683353e-74,1.6960347281778465e-72,Significant
PD52657a,929077,0,1,0,143,40,G,67,2316020,Mediterraneibacter,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,NA,1430,309356,0.027972027972027972,1.293008701948564e-4,3.5933308705855876e-45,2.4075316832923437e-43,Significant
PD52657a,929077,0,1,1,83,18,S,124,33038,[Ruminococcus] gnavus,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus]_gnavus,142392,142511,1.2641159615708747e-4,1.2630603953379038e-4,8.447842268320624e-21,1.0475324412717573e-18,Significant
PD52657a,929077,0,17,0,2147,783,F,52,543314,Eubacteriales Family XIII. Incertae Sedis,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Eubacteriales_Family_XIII._Incertae_Sedis,NA,NA,107,580141,7.317757009345795,0.0013496718901094733,0,0,Significant
PD52657a,929077,0,17,1,2127,769,G,67,86331,Mogibacterium,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Eubacteriales_Family_XIII._Incertae_Sedis,Mogibacterium,NA,3552,136715,0.21649774774774774,0.005624839995611308,0,0,Significant
PD52657a,929077,0,15,15,1406,475,S,124,114527,Mogibacterium diversum,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Eubacteriales_Family_XIII._Incertae_Sedis,Mogibacterium,Mogibacterium_diversum,80124,80124,0.00592831111776746,0.00592831111776746,0,0,Significant
PD52657a,929077,0,1,1,672,246,S,124,86332,Mogibacterium pumilum,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Eubacteriales_Family_XIII._Incertae_Sedis,Mogibacterium,Mogibacterium_pumilum,53039,53039,0.004638096495031958,0.004638096495031958,0,0,Significant
PD52657a,929077,0,2,0,23,12,F,52,539000,Clostridiales Family XVII. Incertae Sedis,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Clostridiales_Family_XVII._Incertae_Sedis,NA,NA,0,246878,Inf,4.860700426931521e-5,3.8006574373008036e-4,0.019763418673964177,Significant
PD52657a,929077,0,2,0,23,12,G,67,73918,Thermaerobacter,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Clostridiales_Family_XVII._Incertae_Sedis,Thermaerobacter,NA,6603,242160,0.001817355747387551,4.955401387512388e-5,2.8936324165064573e-4,0.019387337190593264,Significant
PD52657a,929077,0,2,2,23,12,S,124,2293838,Thermaerobacter sp. PB12/4term,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Clostridiales_Family_XVII._Incertae_Sedis,Thermaerobacter,Thermaerobacter_sp._PB12/4term,77405,77405,1.5502874491311931e-4,1.5502874491311931e-4,2.1438251517671124e-18,2.6583431881912195e-16,Significant
PD52657a,929077,0,2,2,231,48,G,67,1686313,Fenollaria,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,NA,Fenollaria,NA,3636,91696,0.013201320132013201,5.234688536032106e-4,8.930599803700558e-269,5.9835018684793735e-267,Significant
PD52657a,929077,0,1,1,609,262,F,52,216572,Oscillospiraceae,Bacteria,NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,NA,NA,30763,4518007,0.00851672463673894,5.7990171329969165e-5,1.3703935930431332e-80,7.126046683824293e-79,Significant
PD52657a,929077,0,1,0,84,34,F,52,543371,Thermoanaerobacterales Family III. Incertae Sedis,Bacteria,NA,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales_Family_III._Incertae_Sedis,NA,NA,58,1089933,0.5862068965517241,3.11945780153459e-5,0.0018169318675068857,0.09448045711035806,Non-significant
PD52657a,929077,0,1,0,37,16,G,67,28895,Thermoanaerobacterium,Bacteria,NA,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales_Family_III._Incertae_Sedis,Thermoanaerobacterium,NA,94434,381827,1.6943050172607324e-4,4.190379412665945e-5,6.019771227605376e-4,0.040332467224956016,Significant
PD52657a,929077,0,1,1,18,12,S,124,1517,Thermoanaerobacterium thermosaccharolyticum,Bacteria,NA,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales_Family_III._Incertae_Sedis,Thermoanaerobacterium,Thermoanaerobacterium_thermosaccharolyticum,83927,132841,1.4298140050281793e-4,9.033355665795952e-5,1.298971038178563e-9,1.610724087341418e-7,Significant
PD52657a,929077,0,2,0,501,217,F,52,128827,Erysipelotrichaceae,Bacteria,NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA,685,1307485,0.3167883211678832,1.659674871987059e-4,0,0,Significant
PD52657a,929077,0,2,0,378,177,G,67,118747,Bulleidia,Bacteria,NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,NA,0,47110,Inf,0.0037571640840585864,0,0,Significant
PD52657a,929077,0,2,2,378,177,S,124,2806552,Bulleidia sp. zg-1006,Bacteria,NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia_sp._zg-1006,47110,47110,0.0037571640840585864,0.0037571640840585864,0,0,Significant
PD52657a,929077,0.03,277,10,14028,11449,F,52,2049,Actinomycetaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,NA,NA,8149,4723219,1.404957663516996,0.002423982457726394,0,0,Significant
PD52657a,929077,0.03,243,225,13022,10578,G,67,1654,Actinomyces,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,NA,198753,2369273,0.05322183816093342,0.004464660678613229,0,0,Significant
PD52657a,929077,0,8,6,1839,1533,S,124,544580,Actinomyces oris,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_oris,108107,131401,0.014180395349052327,0.011666577879924811,0,0,Significant
PD52657a,929077,0,3,0,783,610,S,124,706438,Actinomyces sp. oral taxon 171,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_sp._oral_taxon_171,0,63497,Inf,0.009606753074948423,0,0,Significant
PD52657a,929077,0,3,3,334,281,S,124,1656,Actinomyces viscosus,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_viscosus,81353,81353,0.0034540828242351235,0.0034540828242351235,0,0,Significant
PD52657a,929077,0,3,3,535,456,S,124,1655,Actinomyces naeslundii,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_naeslundii,137884,137884,0.0033071277305561195,0.0033071277305561195,0,0,Significant
PD52657a,929077,0,24,3,845,757,G,67,2529408,Schaalia,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia,NA,3789,714503,0.19978886249670097,0.0010594777068815666,0,0,Significant
PD52657a,929077,0,21,21,802,715,S,124,1660,Schaalia odontolytica,Bacteria,NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia_odontolytica,196681,196681,0.003635328272685211,0.003635328272685211,0,0,Significant
PD52657a,929077,0,11,1,492,449,F,52,1268,Micrococcaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,NA,NA,224528,13891852,0.0019997505878999503,3.232110448628448e-5,3.849740087464569e-30,2.0018648454815758e-28,Significant
PD52657a,929077,0,7,6,221,207,G,67,1269,Micrococcus,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,NA,103479,357718,0.002000405879453802,5.786681128710325e-4,0,0,Significant
PD52657a,929077,0,1,1,30,30,S,124,1270,Micrococcus luteus,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus_luteus,174666,174772,0.00017175638074954483,1.7165220973611333e-4,1.0193473299142708e-48,1.2639906890936957e-46,Significant
PD52657a,929077,0,2,0,153,132,G,67,32207,Rothia,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,NA,16391,922287,0.008053199926789092,1.4312247705974387e-4,1.6083803959293013e-164,1.0776148652726318e-162,Significant
PD52657a,929077,0,2,1,79,66,S,124,2047,Rothia dentocariosa,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,Rothia_dentocariosa,110647,138875,5.964915451842346e-4,4.7524752475247524e-4,0,0,Significant
PD52657a,929077,0,1,0,68,68,G,67,57493,Kocuria,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,NA,139223,889994,4.884250447124397e-4,7.640500947197397e-5,1.2602494414666615e-35,8.443671257826632e-34,Significant
PD52657a,929077,0,1,1,41,41,S,124,71999,Kocuria palustris,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,Kocuria_palustris,83794,83794,4.892951762656037e-4,4.892951762656037e-4,5.825705683005354e-214,7.223875046926639e-212,Significant
PD52657a,929077,0,3,1,138,128,F,52,85021,Intrasporangiaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,NA,NA,3866,1148547,0.03310915675116399,1.1144515635842504e-4,2.4443743595036998e-114,1.2710746669419238e-112,Significant
PD52657a,929077,0,2,2,124,116,G,67,53457,Janibacter,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Janibacter,NA,68100,483804,0.0017033773861967695,2.397665170192888e-4,1.6536472744789711e-271,1.1079436739009107e-269,Significant
PD52657a,929077,0,3,1,293,191,F,52,85023,Microbacteriaceae,Bacteria,NA,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,NA,NA,201366,19125789,9.485215974891491e-4,9.98651611183204e-6,1,1,Non-significant
